Arrest Year,Arrest Date,Arrest Hour,Age,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Offense Latitude,Offense Longitude
2021,1/1/21,0,38,BLACK,UNKNOWN,MALE,Damage to Property,38.927,-77.006
2021,1/1/21,0,31,BLACK,NOT HISPANIC,MALE,Simple Assault,38.925,-77.033
2021,1/1/21,0,35,BLACK,NOT HISPANIC,MALE,Weapon Violations,38.9,-76.93
2021,1/1/21,0,31,BLACK,NOT HISPANIC,MALE,Weapon Violations,38.849,-76.976
2021,1/1/21,0,21,BLACK,NOT HISPANIC,MALE,Weapon Violations,38.882,-76.925
2021,1/1/21,1,19,BLACK,NOT HISPANIC,MALE,Weapon Violations,38.922,-77.027
2021,1/1/21,1,63,BLACK,NOT HISPANIC,MALE,Simple Assault,38.883,-76.939
2021,1/1/21,1,28,BLACK,NOT HISPANIC,MALE,Narcotics,38.857,-76.974
2021,1/1/21,1,19,WHITE,HISPANIC,MALE,Damage to Property,38.945,-77.027
2021,1/1/21,1,20,BLACK,NOT HISPANIC,FEMALE,Simple Assault,38.925,-76.961
2021,1/1/21,2,35,BLACK,UNKNOWN,MALE,Other Crimes,38.894,-77.017
2021,1/1/21,2,33,BLACK,NOT HISPANIC,FEMALE,Driving/Boating While Intoxicated,38.857,-76.967
2021,1/1/21,2,31,BLACK,NOT HISPANIC,MALE,Weapon Violations,38.823,-77.001
2021,1/1/21,2,59,BLACK,NOT HISPANIC,MALE,Simple Assault,38.917,-77.007
2021,1/1/21,3,46,BLACK,NOT HISPANIC,MALE,Traffic Violations,38.848,-76.979
2021,1/1/21,3,22,BLACK,NOT HISPANIC,FEMALE,Simple Assault,38.905,-77.009
2021,1/1/21,3,31,BLACK,NOT HISPANIC,MALE,Simple Assault,38.915,-76.974
2021,1/1/21,3,29,WHITE,UNKNOWN,MALE,Simple Assault,38.917,-77.033
2021,1/1/21,4,24,BLACK,UNKNOWN,FEMALE,Driving/Boating While Intoxicated,38.956,-77.003
2021,1/1/21,4,30,UNKNOWN,HISPANIC,MALE,Simple Assault,38.901,-77.032
2021,1/1/21,5,37,BLACK,NOT HISPANIC,FEMALE,Simple Assault,38.925,-77.024
2021,1/1/21,5,66,BLACK,NOT HISPANIC,MALE,Simple Assault,38.925,-77.024
2021,1/1/21,5,27,BLACK,UNKNOWN,MALE,Simple Assault,38.905,-76.973
2021,1/1/21,5,27,BLACK,NOT HISPANIC,MALE,Damage to Property,38.893,-76.913
2021,1/1/21,6,45,WHITE,NOT HISPANIC,FEMALE,Sex Offenses,38.873,-76.975
2021,1/1/21,7,42,BLACK,NOT HISPANIC,FEMALE,Traffic Violations,38.898,-76.931
2021,1/1/21,7,49,BLACK,NOT HISPANIC,MALE,Theft,38.884,-76.946
2021,1/1/21,8,34,BLACK,NOT HISPANIC,MALE,Theft,38.916,-77.067
2021,1/1/21,9,28,BLACK,NOT HISPANIC,MALE,Simple Assault,38.857,-76.981
2021,1/1/21,9,40,UNKNOWN,HISPANIC,MALE,Theft,38.94,-77.031
2021,1/1/21,9,34,BLACK,UNKNOWN,MALE,Driving/Boating While Intoxicated,38.867,-76.99
2021,1/1/21,10,31,BLACK,NOT HISPANIC,MALE,Simple Assault,38.935,-76.991
2021,1/1/21,10,26,BLACK,NOT HISPANIC,MALE,Simple Assault,38.921,-77.022
2021,1/1/21,11,18,BLACK,NOT HISPANIC,MALE,Damage to Property,38.891,-76.94
2021,1/1/21,11,31,BLACK,UNKNOWN,MALE,Driving/Boating While Intoxicated,38.838,-76.998
2021,1/1/21,11,29,ASIAN,HISPANIC,MALE,Simple Assault,38.97,-77.027
2021,1/1/21,14,71,WHITE,NOT HISPANIC,FEMALE,Other Crimes,38.884,-76.986
2021,1/1/21,15,54,BLACK,NOT HISPANIC,MALE,Simple Assault,38.845,-76.981
2021,1/1/21,15,29,BLACK,NOT HISPANIC,MALE,Property Crimes,38.908,-77.009
2021,1/1/21,15,23,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive (Warr),38.899,-77.022
2021,1/1/21,15,23,ASIAN,NOT HISPANIC,MALE,Other Crimes,38.88,-76.987
2021,1/1/21,16,29,WHITE,NOT HISPANIC,MALE,Release Violations/Fugitive (Warr),38.906,-77.006
